Bronx Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,22 STORE BUILDINGS,4,3052,11,,K1,4551 3 AVENUE,,10458,0,4,4,"5,483","2,680",1924,4,K1,"19,900,000",11/13/2019
2,BATHGATE,29 COMMERCIAL GARAGES,4,2899,1,,G1,1732 WEBSTER AVENUE,,10457,0,2,2,"5,100","8,804",1930,4,G1,"2,878,500",11/18/2019
2,BATHGATE,29 COMMERCIAL GARAGES,4,3029,26,,G2,2090 WEBSTER AVENUE,,10457,0,1,1,"4,360","1,200",1996,4,G2,0,9/4/2019
2,BATHGATE,29 COMMERCIAL GARAGES,4,3032,25,,G7,N/A WEBSTER AVENUE,,10458,0,0,0,"7,539",0,,4,G7,0,5/28/2020
2,BATHGATE,29 COMMERCIAL GARAGES,4,3041,14,,G7,458 CYRUS PLACE,,10458,0,0,0,"3,750",0,,4,G7,0,1/16/2020
2,BATHGATE,30 WAREHOUSES,4,2897,24,,E1,1620 WEBSTER AVENUE,,10457,0,2,2,"93,035","35,490",1967,4,E1,"33,072,265",2/28/2020
2,BATHGATE,30 WAREHOUSES,4,2897,140,,E1,1624 WEBSTER AVENUE,,10457,0,1,1,"53,060","30,870",1950,4,E1,"33,072,265",2/28/2020
2,BATHGATE,30 WAREHOUSES,4,3040,31,,E2,461 EAST 186 STREET,,10458,0,1,1,"5,000","1,500",1995,4,E2,"1,120,000",5/6/2020
2,BATHGATE,31 COMMERCIAL VACANT LAND,4,3030,24,,V1,417 EAST 180 STREET,,10457,0,0,0,"1,769",0,,4,V1,"224,015",1/31/2020
2,BATHGATE,31 COMMERCIAL VACANT LAND,4,3037,33,,V1,N/A EAST 180 STREET,,10457,0,0,0,"1,826",0,,4,V1,0,6/18/2020
