Manhattan Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13TH STREET, 6AB",,10009,14,0,14,"2,468","10,888",1900,2,C4,"133,115",2/6/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,406,47,,C4,535 EAST 12TH STREET,,10009,8,1,9,"2,581","5,688",1900,2,C4,2,12/18/2019
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,392,43,,D3,N/A EAST 9TH STREET,,10009,14,0,14,"2,768","14,572",2019,2,D3,0,5/20/2020
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,393,25,,D5,636-640 EAST 11TH STREET,,10009,30,0,30,"7,109","27,362",1985,2,D5,0,9/11/2019
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,396,29,,D6,644 EAST 14TH STREET,,10009,50,2,52,"10,098","66,043",2017,2,D6,"31,289,811",4/29/2020
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,405,17,,D9,520 EAST 12TH STREET,,10009,41,0,41,"5,163","31,500",1930,2,D9,0,9/26/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,40,,C6,"327 EAST 3RD STREET, 4B",,10009,,,,,,1920,2,C6,"550,000",10/30/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,40,,C6,"327 EAST 3RD STREET, 3E",,10009,,,,,,1920,2,C6,"495,000",3/12/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,46,,C6,"317 EAST 3RD STREET, B",,10009,,,,,,1925,2,C6,"690,000",12/9/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,46,,C6,"317 EAST 3RD STREET, 13",,10009,,,,,,1925,2,C6,"590,000",3/4/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,49,,C6,"311 EAST 3RD STREET, 30",,10009,,,,,,1920,2,C6,"465,000",10/28/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,49,,C6,"311 EAST 3RD STREET, 29",,10009,,,,,,1920,2,C6,"420,000",10/4/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,16,,C6,"248 EAST 7TH STREET, 3-4",,10009,,,,,,1928,2,C6,"560,000",5/26/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,18,,C6,"252 EAST 7TH STREET, 2",,10009,,,,,,1928,2,C6,"390,000",1/22/2020
